"molecule_SMILES","UniProt_ID","affinity_score"
"C1CC(CCC1N2C3=C(C(=NC=N3)N)C(=N2)I)O","P49760",75.2
"C1=CC(=CC=C1C2=CSC3=C2C(=NC=C3C=CC(=O)NCCCN4C=CN=C4)N)Br","Q13627",63.4
"CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O","Q9HAZ1",67.7
"CNC(=O)C=CC1=CN=C(C2=C1SC=C2C3=CC4=C(C=C3)OCO4)N","P52333",67.1
"CN(C)CCOC1=CC=C(C=C1)/C=C/C2=NC=CC(=C2)C3=CC4=C(N3)NC=NC4=O","P06239",64.4
"C1CCOC2=CC(=C(C=C2NC(=O)NC3=CN=C(C(=N3)OCC1)C#N)Cl)OCCCO","Q05513",62.7
"C1=CC2=CN=C(C=C2C=C1Br)NC3=NC=NC=C3","P49840",64.6
"CCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N","P00533",66.5
"C1CCN(CC1)C(=O)C2=NOC(=C2)C3=CC4=C(C=C3)NN=C4","P06493",62.7
"C1=CC(=C2C=NSC2=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)F)C(F)(F)F","Q13464",62.1
"CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F","O14965",67.1
"C1=CC2=C(C=C1C3=CC=NC=C3)N(C=C(C2=O)C(=O)N)C4=C(C=C(C=C4)O)Cl","P05129",69.6
"C1=CC(=C(C=C1Cl)F)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N","Q05655",70.8
"CCOCC(C)OC1=CC=CC2=C1C(=NN2)N","P52333",64
"CC1=C(C=C(C=C1)C2=C3C(=NC=NC3=NN2)N)OCC4=CC=CC=C4","P12931",58.9
"C1=CC(=NC(=C1)NC(=O)NC2=C3C=C(C(=CC3=NC=C2)F)F)C(F)(F)F","O14965",67.1
"COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC","P04629",70.8
"CC(C1=CC(=CC=C1)OC)NC(=O)N2CCC(=CC2)C3=CNC4=C3C=CC=N4","P49840",72.7
"CC(C(C)(C)C)NC1=C(C(=O)C1=O)N(C2=CC=NC=C2)C(=O)C","P28482",62.7
"CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=CC=C2S(=O)(=O)N)N)Cl","P06213",64
"C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC(=O)NC3=NC=CN=C3","Q13131",63.4
"C1=CC=C(C=C1)C2=CC=CC3=CN=C(N32)N","P36888",61.5
"CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC","P51955",65.8
"CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4","P49841",78.2
"C1=CC2=CN=C(C=C2C=C1C3=CSC=C3)NCCO","P06493",64.6
"C[C@@H](CNC1=NC=CC(=C1)C2=C(C3=C(N2)C=CC=N3)C4=CC=C(C=C4)F)O","Q05655",62.1
"C1=CC=C(C=C1)C(CCO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P04629",65.2
"COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)O)OCC4=CC=CC=C4C(F)(F)F)OC","Q12851",64
"CC1=C(SC(=N1)NC)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCNCC4","Q13627",75.8
"COC1=C2C=CC=C3C2=C(C=C1)C(=NN3)C4=CC(=C(C=C4)OC)OC","P51812",67.1
"C1=CC2=C(C=C1C#N)N(C(=N2)N)C3=NC=CS3","P11362",64.6
"CC(C)OC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F","P05129",62.7
"COC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)ON=C4N)Cl","O14965",68.3
"C1=CC=C2C(=C1)NC(=C(C3=NC4=CC=CC=C4N3)N=O)N2","Q13464",66.5
"C1CC(C2=C(C1)N=C(C=C2)C3C4=C(C=CC(=C4)C#N)NC3=O)O","P52333",64
"C1=CC=C(C(=C1)C(F)(F)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N","P48729",65.2
"COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)S2)O","P06213",64
"CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O","P08581",55.9
"CN1CCN(CC1)C2=NC=C(C=C2)C3=CC4=C(NCCN4CC5=C(C=CC(=C5)Cl)C(F)(F)F)N=C3","P49760",65.2
"C1CCC(C(C1)N)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","Q13627",78.9
"C1=CC(=CC(=C1)Cl)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N","O60674",67.1
"C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NC(=O)NC3=NC=C(C=C3)C#N","P52333",67.1
"CC1=CC(=NN1)NC2=NC(=CC(=N2)Cl)NCC3=CC=CC=C3","Q13627",66.5
"COC1=C(C=C2C(=C1)N=CC(=N2)NC3CCC(CC3)O)OC","P45983",57.8
"CC1=CC2=NN=C(N2C3=CC=CC=C13)SCC4=CN5C=CC=CC5=N4","Q13131",67.1
"C1=CC=C(C=C1)CC(CO)NC(=O)C2=C(C=C(C=C2)C3=CC=NC=C3)F","P11309",62.1
"CC1=C2C=C(SC2=NN1)C(=O)NCCC3=CC=C(C=C3)Cl","P41743",64
"C1=CC=C2C(=C1)C(=CN2)C=C3C4=CC=CC=C4NC3=O","Q7L7X3",63.4
"C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=C4C(=NC=NN4C=C3)N","P17612",62.7
"C1CC1C2=C(N=NN2CC3=CC=CC=C3)C4=CC5=C(C=C4)NN=C5","Q05513",62.7
"CC(=NN=C(N)N)C1=CC(=CC(=C1)NC(=O)NCCCCCCNC(=O)NC2=CC(=CC(=C2)C(=NN=C(N)N)C)C(=NN=C(N)N)C)C(=NN=C(N)N)C","P51955",65.2
"COC1=CC(=CC(=C1)C(=O)NC2=NNC3=C2C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)OC","O43293",79.5
"COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CSC=C4)OC","P17612",59.1
"C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=C(C=CC=C5N4)C(=O)N","O75116",74.5
"CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C=NSC4=CC=C3)C","P08069",68.3
"CN(C)C(=O)C1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4","P28482",70.2
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CC5=CN=CC=C5)N","P36888",77.6
"CC(C)(CO)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F","P49840",62.7
"C1COC2=C(C1N3C4=NC(=NC=C4NC3=O)N5C=NC6=C5C=C(C=C6)F)C=CC=C2F","P07333",65.8
"CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F","P49760",62.7
"C1C2=C(C=C(C=C2)C3=CC=CC=C3)C(=O)N1","P35968",55.9
"C1=CC=C(C=C1)N2C(=C3C=CC(=CC3=N2)N)C(=O)O","Q7L7X3",63.4
"C1=CC=C(C(=C1)C(F)(F)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N","P06239",66.5
"CCCNC(=O)C1=CC=C(C=C1)NC2=NC(=C3C=CNC3=N2)CC","Q16620",64.6
"C1CCN(C1)C[C@H](C2=CC=CC=C2)NC(=O)C3=CC4=C(S3)C(=NN4)NC(=O)C5=CC=C(C=C5)N6CCOCC6","P24941",62.1
"COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F","P04629",65.8
"CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)NC(=O)NC4=CC=CC=C4","Q05513",57.8
"CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C(C)C(=O)NC)N","Q7L7X3",64.6
"CC1CSC2=C(C(=O)C3=CC(=C(C=C3N12)N4CCC(C4)N)F)C(=O)O","Q05655",62.7
"C1=CNC(=C1)C=C2C3=C(C=C(C=C3)C4=CC=C(C=C4)O)NC2=O","Q00535",65.2
"CN1C=C(C=N1)NC2=NC=C(C(=N2)NC3=CC=CC=C3C(=O)N)Br","P11309",71.4
"CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC","P05129",53.4
"CN(C)C1=C(C=C(C=C1)C2=C(N3C=CSC3=N2)C4=NC(=NC=C4)NC5=CC=CC(=C5)N6CCOCC6)NC(=O)CC7=CC=CC=C7","O96013",64
"C1=CC=NC(=C1)N2C(=CC(=O)N2)N","P17948",60.2
"CC1=C(C=C(C=C1)O)CC[C@@H]2[C@@H](CC[C@]3([C@H]2C[C@@H]([C@@H]3[C@H](C)CCCC(C)C)O)C)O","P31749",55.9
"CCOC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)Cl","O95819",62.1
"CC(=O)N1CCN(CC1)C2=CN=C3C=C(C=C(C3=C2)NCC4=CC(=CC=C4)[N+](=O)[O-])C(F)(F)F","P08581",87.1
"COC1=CC=C(C=C1)N2C=CC3=CN=C(N=C32)NC4=CC(=C(C(=C4)OC)OC)OC","O60674",79.5
"COC1=CC=CC(=C1)C(CN)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","O14965",67.1
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC5=C(C=C4)NC(=O)O5)N","P00519",69.6
"CC1=C(C=CC(=C1)O)N2C3=C(C=CC(=C3)Cl)C(=O)C4=C2N=C(N=C4N)N","Q05655",68.3
"C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)OC)OC","P05129",71.9
"CCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N","P06239",65.8
"C1CN(CC2=C1NC3=C(C=C(C=C23)Cl)Cl)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-]","Q13627",66.5
"C1=CC=C(C=C1)CNC2=C3C(=CC(=C2)Cl)C4=C(N3)C=NC=C4","P17612",59.6
"C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC","P17612",74.5
"COC1=CC=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3","O60674",67.1
"CC1=NN(C(=C1)C2=CC=CC=C2)C3=CC(=NC=N3)NN=CC4=CC=CO4","P07333",65.8
"CC1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC=CC=C3I","Q05513",62.7
"CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCCC(C)(C)O)C4=C(C=C(C=C4)F)F","P36888",65.8
"CC(C)(C)C1=NN(C(=C1)NC(=O)C(=O)C2=CC=CC3=CC=CC=C32)C4=CC(=CC=C4)OCC(=O)O","P49760",64.6
"C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=NOC4=NC=NC(=C34)N)C(F)(F)F","P00519",69.6
"C1=CC(=CC=C1OC2=CN=CC3=C2C=C(S3)C4=NN=C(O4)N)Cl","P08069",66.5
"CC1=CC2=C(C=C1)NC3=CC=CC=C3C(=O)N2","P07333",65.8
"CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N","P11309",81.4
"CN(C)CC(COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O","O95819",65.8
"CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N","Q00535",78.9
"C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)NC(=O)C4=CC=C(C=C4)Cl","P51812",62.7
"C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CC=NC=C4)F","Q00535",62.1
"CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)O)C(=NC=N2)N","P35968",75.6
"CC(C)(CN1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC=C(C=C5)OC)N)O","Q7L7X3",63.4
"CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl","O60674",77
"CCN(CC)CCNC(=O)C1=CC(=CC=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=CC4=CC=CC=C43","P07333",65.8
"CN1CCN(CC1)C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CC=C5)C(=O)N","P28482",62.7
"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)OC=C4)C(=NC=N2)N","P35968",65.5
"CC1=CC(=CC=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N","P00533",66.5
"C1=CC=C(C=C1)C2=CC(=NC(=O)N2)C3=CC4=C(C=C3)NN=C4","P49841",77
"CNC(=O)NC1CCC(CC1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","O75116",78.3
"C1=COC(=C1)C=C2C(=O)N3C(=C(C(C(=C3S2)C(=O)N)C4=CC=CO4)C#N)N","Q12851",63.4
"CN1C=C(C(=N1)C2=CC=C(C=C2)F)C3=NC=NC=C3","Q9HAZ1",62.1
"CN1CCC(CC1)C(=O)N2C3=C(C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)C(=N2)N","P06213",64
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N","P11362",71.4
"C1COCCN1C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7","O96013",68.5
"C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5","P35968",62.1
"C1COCCN1CCN2C=NC(=C2C3=CC4=C(C=C3)NN=C4)C5=CC=C(C=C5)F","O60674",67.2
"COC1C(OC(C(C1OC(=O)CBr)O)N2C3=CC=CC=C3C4=C5C(=C6C7=CC=CC=C7NC6=C42)C(=O)NC5=O)CO","O94806",54.6
"CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N","P06239",68.9
"C1=CC(=CC(=C1)O)NC2=C3C(=CSC3=NC=N2)Cl","P28482",62.7
"CN(C)CCCC(=O)NC1=NNC2=NN=C(C=C21)C3=C(C(=CC=C3)F)F","O95819",62.1
"C1=CC=C2C(=C1)C(=CN2CCCSC(=N)N)C3=CC(=O)NC3=O","Q05513",68.3
"COC1=CC=CC(=C1)C(=O)NC2=NNC3=C2C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5","O43293",80.1
"CCOC(=O)CC1=NC2=C3C=C(C=CC3=NC(=O)N2N1)Br","P52333",65.2
"CN1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC(=CC=C5)F)N","P24941",62.7
"CC1=C(SC(=N1)NC)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCNCC4","Q7L7X3",73.3
"C1CC(CN(C1)C(=O)C2=NOC(=C2)C3=CC4=C(C=C3)NN=C4)O","P17948",70.8
"CC(=C(C)C1=CC=CC2=C1NC(=C2CCCOC3=C(C(=CC=C3)Cl)Cl)C(=O)O)C","P49840",62.7
"C1CNC2=C(C(=NC=N2)N)N=C1C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F","Q96GD4",83.2
"CC1=C(C=CN=C1)C2=CC=C(C=C2)C(=O)NC(C)C3=CC(=CC=C3)OC","P11309",62.1
"CC(C1=CC=CC=C1)NC2=NC=CC(=N2)C3=C(N=C4N3C=CO4)C5=CC=C(C=C5)F","O75116",62.7
"C1CCN(C1)C[C@H](C2=CC=CC=C2)NC(=O)C3=CC4=C(S3)C(=NN4)NC(=O)C5=CC=C(C=C5)N6CCOCC6","P06213",63.1
"C1C(C(C(=O)C(=C1C2=CC=CC=C2)C#N)C(=O)C3=CC=CC=C3)C4=CC=C(C=C4)Cl","P17948",65.2
"CC(C)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3CCC4)C5=C(C=C(C=C5)F)F","Q13464",62.1
"COC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CCO)N","P35968",83.9
"CCCCN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=C(C=C4)C#N","P06239",65.8
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C(N4C(=C(C=N4)C5=CN(N=C5)C)N=C3)N","O60674",68.3
"CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=CC3=CC=CC=C32)C4=CC=CC(=C4)C(=O)N(C)CCN","P45984",64.6
"CC(C)(C)OC(=O)N1C2=C(C=C(C=C2)NC3=C(C(=O)C3=O)NCC4=C(C=C(C=C4)Cl)Cl)C=N1","Q05655",62.7
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=C(N=CC(=C3)C=CC4=CC=NC=C4)Cl)N","O60674",67.1
"C1=CC=C(C=C1)C(CN)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","O60674",66.5
"CN(C)C1=CC=C(C=C1)CNC(=O)C2=CC3=C(NN=C3S2)C4=CC=CC=C4","P06241",68.9
"C1CNC2=C(C(=NC=N2)N)N=C1C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F","P45984",67.1
"CC(=O)N1C2=C(C=C(C=C2)N)C=N1","Q13627",56.5
"CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)C=CC4=CC=CC=C4","P36888",83.2
"CC1=C(C(=O)N2C3=CC=CC=C3NC2=C1C#N)C=O","Q13464",62.1
"CN1C=C(C2=CC=CC=C21)C(CN)C3=CN=CC(=C3)C=CC4=CC=NC=C4","P35968",62.7
"C1CCC(CC1)NC2=CC(=NC(=N2)C3=CNC4=C3C=CC=N4)Cl","O14757",68.3
"C1=CC=C(C=C1)CC2=CN(N=N2)C3=CC4=C(C=C3)NN=C4","P11362",64
"C1=CC(=CC=C1C2=CNC3=NC=CC(=C23)Cl)C(=O)N","P17948",68.3
"CC(C)CC1=NOC(=C1)C2=CC3=C(C=C2)NN=C3N","O95819",65.2
"C1=CC=C(C=C1)C2=CNC3=C2C(=NC=N3)NCCCO","O94806",67.7
"CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4","P06493",68.3
"CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N","Q16620",64.6
"CC1=C(C=CC=C1O)NC(=O)C2=C3N=CC=C(N3N=C2)C4=CC=CC=C4","P49840",62.7
"C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F","P17612",62.7
"CC1=C(C(=O)N2C3=CC=CC=C3NC2=C1C#N)C=O","P52333",74.5
"C1CN(CC=C1C2=CNC3=C2C=CC=N3)C(=O)NC(CO)C4=CC=CC=C4","P07333",65.8
"CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N","P06241",68.9
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C(C4=NC=CN=C4C=C3)N","Q05655",62.7
"CN(C)C1=CC=C(C=C1)C2=CC(=NC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N)C4=CC=C(C=C4)[N+](=O)[O-]","Q13131",65.8
"C1CN2C=C(C3=C2C(=CC=C3)CN1C(=O)N4CCOCC4)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7","Q96GD4",63.4
"C1CNC2(CCN(CC2)C(=O)CC3=CC=C(C=C3)OC(F)(F)F)C4=C1C5=CC=CC=C5N4","P45984",64.6
"CCCC1=CC2=C(C=CN=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F","P06239",63.4
"CN1CCN(CC1)CCCNC2=CC=CC(=N2)C3=NC4=C(C=CC=C4N3)C(=O)N","Q12851",63.4
"CC(C)(CN)CNC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl","Q00535",71.4
"C1=CC2=C(C=CN=C2C(=C1)C(F)(F)F)NC(=O)NC3=NC=CN=C3","Q96GD4",63.4
"C1CNCC1OC2=CN=CC(=C2)C=CC3=CC=NC=C3","O14757",62.7
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)O","P28482",62.7
"CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OC","P06213",64
"C1=CC=C(C=C1)C2=CSC(=N2)N3C4=C(C=CC(=C4)C#N)N=C3N","Q7L7X3",62.1
"C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O","O60674",68.9
"CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2CO)C3=CN(C(=O)C(=C3)NC4=NC=C(C=C4)C(=O)N5CCOCC5)C","P51812",64.6
"CC(C)CN1C2=C(C=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)N=C1N","P49841",63.4
"CN1C=C(C2=CC=CC=C21)C3=CC4=NC(=CN=C4N3)Br","Q00535",75.8
"CC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Br)C(=NN2)N","P45984",68.9
"CC(C)COC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)CO)C4=CC=C(C=C4)F","O14757",63.4
"COC1=C(C=C(C(=C1)C=O)Cl)NC(=O)NC2=NC=C(N=C2)C#N","P11362",64
"CC1=CC=CC(=C1)C2=C3C(=CC=C2)ON=C3N","Q13627",61.5
"CC(C)(CC1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F)O","Q96GD4",63.4
"C1=CC(=CC(=C1)O)NC2=C3C(=CSC3=NC=N2)Cl","P11309",65.2
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC(=NC(=C34)N)N","P52333",67.1
"CCCC(=O)NC1=CC=CC(=C1)C2=NC3=C(C=C(C=C3)OCCN4CCCC4)C(=N2)NC5=CC6=C(C=C5)NN=C6","Q13464",73.3
"CC(=O)C1=CC=CC(=C1)C2=NN3C=CN=C3C=C2","Q13627",56.5
"CN1C=C(C2=C1C=CC(=C2)OC)C3=CC4=NC=CN=C4N3","O60674",67.7
"CC(C)COC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)CO)C4=CC=C(C=C4)F","Q9HAZ1",65.8
"CC1=C(SC(=N1)COC2=CC=CC=C2Cl)C3=NC(=NC=C3)N","O94806",62.1
"C1=CC(=CC=C1C2=C(N(C=N2)CCCO)C3=CC=NC=C3)F","P41743",64
"C1=CC=C(C=C1)CC(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","Q05655",62.7
"C1=CC=C(C=C1)CC(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P00519",69.6
"C1CC(CCC1N)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","Q9HAZ1",87
"CC1=CC=C(C=C1)CNC2=C(C(=O)C2=O)NC3=CC=NC=C3","P41743",64
"C1=CC=C2C(=C1)N=C(O2)NC3=CC=C(C=C3)C4=CN=C(C5=C4C=C(S5)C(=O)N)N","Q13627",66.5
"COC1=CC=C(C=C1)N2C=NC3=C2C=C(C=C3)C4=NN=C(O4)SCC5=CC=CC(=C5)C#N","P12931",62.1
"CC1=CN=C(S1)NC2=NC(=NC=C2Br)NC(C)C","Q13627",66.5
"C1C2=C(C=CC(=C2)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N)NC1=O","P31749",80.7
"CCN(CC)CC#CC1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N","P24941",63.4
"COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC","P08069",66.5
"C1=CC(=C(C=C1CNC(=O)NC2=CC3=C(C=C2)NN=C3)Cl)Cl","P06241",68.9
"C1=CC2=C(C=CN=C2C(=C1)F)NC(=O)NC3=NC=CN=C3","P04629",65.8
"CC1=C(SC(=C1)C(=O)NC(C)C2=CC(=CC=C2)OC)C3=CC4=C(NN=C4C=C3)C","P07333",65.8
"CC1=CC2=C(C=C1)NC3=CC=CC=C3C(=O)N2","Q13131",67.1
"C1CNCCC1NC2=NC=CC(=N2)C3=C(N=C4N3C=CO4)C5=CC=C(C=C5)F","P12931",66.5
"CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C","P41743",64
"C1=CC=C2C(=C1)N=C(O2)NC3=CC=C(C=C3)C4=CN=C(C5=C4C=C(S5)C(=O)N)N","O95819",65.8
"CC(C(C)(C)C)NC1=C(C(=O)C1=O)NC2=CC=NC=C2","P06241",68.9
"CC1=CC2=NN=C(N2C3=CC=CC=C13)SCC4=CN5C=CC=CC5=N4","P51812",66.5
"CC1=NC2=C(C=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)N)N=C1C","Q16620",64
"CC(C)(C)C1=CC2=N/C(=C\3/C4=CC=CC=C4NN3)/N=C2C=C1","P52333",70.8
"C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C2=CN=CC3=C2C=C(S3)C(=O)N","Q16620",64
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N","O95819",78.3
"C1=CC(=CC=C1C(=O)NC2=CC3=C(C=C2)C=NN3)Cl","Q13627",64
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CNN=C5)N","P31749",62.7
"CN1C=C(C2=C1C=CC(=C2)F)C3=CC4=NC(=CN=C4N3)Br","P08581",68.3
"C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N","P06241",62.8
"CC1=C(N2C=CC=CC2=N1)C3=CSC(=N3)NC4=CC=C(C=C4)O","Q13627",69.6
"CCCNC(=O)C1=CC=C(C=C1)NC2=NC(=C3C=CNC3=N2)CC","P00519",65.8
"COC1=CC=C(C=C1)CNC2=C(C(=O)C2=O)NC3=CC4=C(C=C3)NN=C4","O75116",68.3
"CC1=C2C(=C(C=NC2=NN1)C#N)C3=CC=CC=C3","Q13131",62.1
"CCCCOC1=NC=NC2=C1C(=CN2)C3=CC=CC=C3","P49760",80.1
